delivery_id,truck_id,timestamp,origin_branch,destination_branch,distance_km,fuel_consumed_liters,status
DEL-000000,TRK-0150,2/17/2026 17:02,BR-002,BR-024,46.29,4.44,Cancelled
DEL-000001,TRK-0639,2/16/2026 10:25,BR-016,BR-002,435.36,62.82,Completed
DEL-000002,TRK-0403,3/2/2026 17:59,BR-027,BR-000,151.2,16.42,Delayed
DEL-000003,TRK-0693,2/9/2026 19:11,BR-013,BR-022,471.43,134.9,Delayed
DEL-000004,TRK-0466,2/6/2026 6:38,BR-047,BR-010,312.02,36.54,Completed
DEL-000005,TRK-0572,2/15/2026 18:50,BR-002,BR-034,105.28,14.94,Completed
DEL-000006,TRK-0649,2/4/2026 20:52,BR-032,BR-012,214.32,28.92,Completed
DEL-000007,TRK-0477,2/6/2026 16:47,BR-039,BR-048,204.3,42.71,Completed
DEL-000008,TRK-0090,2/21/2026 14:38,BR-010,BR-039,439.26,82.57,Delayed
DEL-000009,TRK-0481,2/22/2026 20:10,BR-047,BR-027,68.84,7.74,Completed
DEL-000010,TRK-0019,2/19/2026 14:34,BR-032,BR-000,217.99,19.88,Cancelled
DEL-000011,TRK-0754,2/22/2026 20:45,BR-023,BR-029,203.34,22.23,Completed
DEL-000012,TRK-0443,2/26/2026 17:08,BR-001,BR-021,463.31,58.87,Delayed
DEL-000013,TRK-0156,2/22/2026 8:22,BR-044,BR-016,16.52,1.55,Cancelled
DEL-000014,TRK-0160,3/2/2026 13:36,BR-019,BR-002,174.11,27.64,Delayed
DEL-000015,TRK-0503,2/11/2026 22:56,BR-006,BR-013,477.01,139.84,Completed
DEL-000016,TRK-0611,2/20/2026 7:52,BR-019,BR-040,67.25,13.11,Cancelled
DEL-000017,TRK-0263,2/23/2026 9:35,BR-000,BR-048,90.99,11.35,Completed
DEL-000018,TRK-0871,2/16/2026 9:00,BR-031,BR-005,39.82,8.17,Completed
DEL-000019,TRK-0944,2/1/2026 20:26,BR-024,BR-033,465.36,115.94,Completed
DEL-000020,TRK-0859,2/5/2026 18:54,BR-010,BR-026,435.09,118.72,Completed
DEL-000021,TRK-0123,2/4/2026 12:55,BR-011,BR-040,142.73,38.11,Cancelled
DEL-000022,TRK-0468,2/10/2026 8:14,BR-009,BR-023,56.52,9.05,Completed
DEL-000023,TRK-0134,2/20/2026 6:03,BR-030,BR-023,461.73,55.13,Cancelled
DEL-000024,TRK-0718,2/1/2026 8:28,BR-045,BR-017,414.99,48.2,Cancelled
DEL-000025,TRK-0099,2/22/2026 15:07,BR-013,BR-000,286.01,36.33,Delayed
DEL-000026,TRK-0359,2/1/2026 7:25,BR-003,BR-030,227.09,68.29,Cancelled
DEL-000027,TRK-0688,2/17/2026 17:21,BR-012,BR-047,453.43,97.51,Cancelled
DEL-000028,TRK-0628,2/5/2026 18:26,BR-001,BR-038,189.58,17.29,Cancelled
