branch_id,product_id,stock_level,reorder_point
BR-000,PROD-06252,271,91
BR-000,PROD-04684,662,158
BR-000,PROD-01731,802,162
BR-000,PROD-04742,669,112
BR-000,PROD-04521,766,143
BR-000,PROD-06340,835,101
BR-000,PROD-00576,573,117
BR-000,PROD-05202,685,84
BR-000,PROD-06363,323,158
BR-000,PROD-00439,122,81
BR-000,PROD-02750,852,154
BR-000,PROD-07487,111,130
BR-000,PROD-05272,684,196
BR-000,PROD-05653,732,129
BR-000,PROD-03999,276,86
BR-000,PROD-06033,423,71
BR-000,PROD-00582,546,120
BR-000,PROD-09930,871,134
BR-000,PROD-07051,322,103
BR-000,PROD-08158,449,131
BR-000,PROD-09896,548,89
BR-000,PROD-02249,411,185
BR-000,PROD-04640,130,144
BR-000,PROD-09485,61,186
BR-000,PROD-04947,109,119
BR-000,PROD-09920,871,198
BR-000,PROD-01963,836,129
BR-000,PROD-08243,990,58
BR-000,PROD-06590,187,99
BR-000,PROD-08847,136,99
BR-000,PROD-00321,355,192
BR-000,PROD-02678,379,108
BR-000,PROD-04625,845,139
BR-000,PROD-04949,523,64
BR-000,PROD-08328,710,102
BR-000,PROD-03337,971,135
BR-000,PROD-05589,896,93
BR-000,PROD-00251,520,182
BR-000,PROD-03973,30,136
BR-000,PROD-06630,28,176
BR-000,PROD-05547,323,61
BR-000,PROD-00035,893,177
BR-000,PROD-08362,733,180
BR-000,PROD-01513,90,199
BR-000,PROD-09317,702,165
BR-000,PROD-00039,827,104
BR-000,PROD-04819,369,116
BR-000,PROD-03465,807,125
BR-000,PROD-01760,933,83
BR-000,PROD-02304,366,96
BR-000,PROD-03723,287,171
BR-000,PROD-08284,504,175
BR-000,PROD-04993,494,114
BR-000,PROD-08127,292,120
BR-000,PROD-03032,579,149
BR-000,PROD-07938,270,200
BR-000,PROD-03039,251,58
BR-000,PROD-09655,313,159
BR-000,PROD-02545,289,63
BR-000,PROD-02592,49,161
BR-000,PROD-01188,8,148
BR-000,PROD-07966,581,186
BR-000,PROD-06077,894,180
BR-000,PROD-00107,946,84
BR-000,PROD-01315,399,126
BR-000,PROD-08187,559,161
BR-000,PROD-02753,128,167
BR-000,PROD-09753,372,143
BR-000,PROD-06231,821,103
BR-000,PROD-02876,508,168
BR-000,PROD-05323,607,108
BR-000,PROD-00799,804,193
BR-000,PROD-03570,360,124
BR-000,PROD-02894,668,147
BR-000,PROD-02927,21,199
BR-000,PROD-08178,103,85
BR-000,PROD-00971,124,55
BR-000,PROD-06687,907,115
BR-000,PROD-08575,24,169
BR-000,PROD-02020,160,142
BR-000,PROD-09054,259,140
BR-000,PROD-00952,748,100
BR-000,PROD-05359,617,161
BR-000,PROD-03857,44,73
BR-000,PROD-05861,773,161
BR-000,PROD-03145,61,196
BR-000,PROD-03305,853,106
BR-000,PROD-03006,144,114
BR-000,PROD-09001,479,57
BR-000,PROD-07770,450,194
BR-000,PROD-07438,146,151
BR-000,PROD-07942,975,84
BR-000,PROD-09238,369,76
BR-000,PROD-01056,723,172
BR-000,PROD-03154,303,101
BR-000,PROD-03787,127,150
BR-000,PROD-09189,792,64
BR-000,PROD-07825,222,83
BR-000,PROD-07539,380,65
BR-000,PROD-07231,664,109
BR-000,PROD-00764,767,199
BR-000,PROD-05019,304,113
BR-000,PROD-04903,690,180
BR-000,PROD-08093,956,185
BR-000,PROD-06843,264,118
BR-000,PROD-02165,960,89
BR-000,PROD-01862,470,192
BR-000,PROD-07850,586,141
BR-000,PROD-09123,159,112
BR-000,PROD-02340,437,73
BR-000,PROD-05527,805,177
BR-000,PROD-06743,605,117
BR-000,PROD-04003,583,156
BR-000,PROD-01123,743,117
BR-000,PROD-08709,344,128
BR-000,PROD-04049,619,140
BR-000,PROD-07640,728,140
BR-000,PROD-00765,862,166
BR-000,PROD-02344,750,179
BR-000,PROD-04071,896,79
BR-000,PROD-07216,177,164
BR-000,PROD-04216,742,99
BR-000,PROD-07952,743,77
BR-000,PROD-05970,504,123
BR-000,PROD-03350,697,86
BR-000,PROD-04695,449,77
BR-000,PROD-03399,541,108
BR-000,PROD-04081,135,87
BR-000,PROD-09149,954,121
BR-000,PROD-01224,923,56
BR-000,PROD-06292,165,104
BR-000,PROD-03122,614,103
BR-000,PROD-00510,403,83
BR-000,PROD-05794,487,149
BR-000,PROD-08181,104,168
BR-000,PROD-09417,418,119
BR-000,PROD-00096,727,57
BR-000,PROD-06681,784,120
BR-000,PROD-01512,41,121
BR-000,PROD-08791,745,149
BR-000,PROD-00119,344,143
BR-000,PROD-07791,101,70
BR-000,PROD-06517,167,191
BR-000,PROD-00033,386,109
BR-000,PROD-07887,516,70
