product_id,product_name,category,unit_price,weight_kg
PROD-00000,Electrical Item 0,Electrical,4856.84,43.11
PROD-00001,Cement Item 1,Cement,3417.4,6.17
PROD-00002,Electrical Item 2,Electrical,3854.56,17.34
PROD-00003,Electrical Item 3,Electrical,2202.09,22.96
PROD-00004,Electrical Item 4,Electrical,4860.85,38.22
PROD-00005,Steel Item 5,Steel,4359.07,15.27
PROD-00006,Lumber Item 6,Lumber,806.55,38.24
PROD-00007,Cement Item 7,Cement,3014.78,24.69
PROD-00008,Steel Item 8,Steel,4649.04,44
PROD-00009,Electrical Item 9,Electrical,1235.29,12.42
PROD-00010,Steel Item 10,Steel,473.98,24.56
PROD-00011,Steel Item 11,Steel,4891.02,26.87
PROD-00012,Aggregates Item 12,Aggregates,685.54,24.03
PROD-00013,Aggregates Item 13,Aggregates,1362.03,43.69
PROD-00014,Finishing Item 14,Finishing,4823.6,46.48
PROD-00015,Lumber Item 15,Lumber,3579.1,20.25
PROD-00016,Plumbing Item 16,Plumbing,2218.6,26.12
PROD-00017,Steel Item 17,Steel,1277.13,3.67
PROD-00018,Cement Item 18,Cement,2962.13,11.89
PROD-00019,Lumber Item 19,Lumber,85.59,35.54
PROD-00020,Cement Item 20,Cement,1183.26,45.32
PROD-00021,Plumbing Item 21,Plumbing,400.74,12.28
PROD-00022,Tools Item 22,Tools,1110.47,7.05
PROD-00023,Tools Item 23,Tools,1252.84,23.91
PROD-00024,Finishing Item 24,Finishing,992.53,5.3
PROD-00025,Finishing Item 25,Finishing,1803.77,20.85
PROD-00026,Cement Item 26,Cement,3383.15,49.22
PROD-00027,Steel Item 27,Steel,350.03,36.55
PROD-00028,Steel Item 28,Steel,1280.85,9.92
PROD-00029,Tools Item 29,Tools,743.9,9.58
PROD-00030,Tools Item 30,Tools,1286.54,46.2
PROD-00031,Tools Item 31,Tools,4049.71,42.87
PROD-00032,Steel Item 32,Steel,300.41,49.96
PROD-00033,Cement Item 33,Cement,4846.53,46.36
PROD-00034,Lumber Item 34,Lumber,873.24,24.54
PROD-00035,Lumber Item 35,Lumber,4330.02,45.17
PROD-00036,Aggregates Item 36,Aggregates,1925.92,49.27
PROD-00037,Electrical Item 37,Electrical,4636.26,39.36
PROD-00038,Electrical Item 38,Electrical,2143.89,47.89
PROD-00039,Tools Item 39,Tools,816.24,15.19
PROD-00040,Cement Item 40,Cement,2916.94,27.34
PROD-00041,Plumbing Item 41,Plumbing,332.97,29.42
PROD-00042,Aggregates Item 42,Aggregates,331.55,25.64
PROD-00043,Aggregates Item 43,Aggregates,389.18,3.86
PROD-00044,Lumber Item 44,Lumber,2048.69,47.11
PROD-00045,Lumber Item 45,Lumber,2915.65,2.47
PROD-00046,Steel Item 46,Steel,2125.16,29.39
PROD-00047,Plumbing Item 47,Plumbing,4676.8,10.61
PROD-00048,Plumbing Item 48,Plumbing,1231.5,20.09
PROD-00049,Electrical Item 49,Electrical,2313.26,46.49
PROD-00050,Steel Item 50,Steel,96.11,31.25
PROD-00051,Steel Item 51,Steel,412.64,11.05
PROD-00052,Electrical Item 52,Electrical,705.66,17.78
PROD-00053,Steel Item 53,Steel,4402.39,18.79
PROD-00054,Aggregates Item 54,Aggregates,2219.01,27.39
PROD-00055,Electrical Item 55,Electrical,3077.8,49.37
PROD-00056,Cement Item 56,Cement,3355.92,27.95
PROD-00057,Steel Item 57,Steel,4697.7,7.15
PROD-00058,Steel Item 58,Steel,4454.08,37.25
PROD-00059,Aggregates Item 59,Aggregates,1398.12,30.44
PROD-00060,Plumbing Item 60,Plumbing,1057.81,31.89
PROD-00061,Electrical Item 61,Electrical,2551.77,12.93
PROD-00062,Cement Item 62,Cement,506.88,21.47
PROD-00063,Electrical Item 63,Electrical,268.23,17.01
PROD-00064,Aggregates Item 64,Aggregates,3203.71,13.47
PROD-00065,Tools Item 65,Tools,2780.82,21.67
